 ######################################################################
 #                                                                    #
 #                            TDSPEC v2.0                             #
 #            Time-Dependent Spectroscopic Simulations of             #
 #               Linear and Nonlinear Optical Processes               #
 #                                                                    #
 #                   Authors: Daniel W. Silverstein                   #
 #                            Philip A. Weiss                         #
 #                            Dhabih V. Chulhai                       #
 #                            Zhongwei Hu                             #
 #                            Lasse Jensen                            #
 #                                                                    #
 ######################################################################
 # TDSPEC OPA Calculation                                              
 # Incident Frequency   22843.5672514620     
 # Solvent shift  0.000000000000000E+000
 # Lifetime Model = Simple Homogeneous and Inhomogenous Broadening
 # start reading info excited state: 1
 # done reading info for excited state: 1
 # start reading info excited state: 2
 # done reading info for excited state: 2
 # Excited State       Gamma (cm-1)      Theta (cm-1)
 #           1           100.00              0.00
 #           2           100.00              0.00
 # Solvent contribution to the reorganization energy
 # cannot be calculated in the simple solvent model.
 # Excited State       Vib. Reorganization Energy (cm-1)
 #           1           4812.15
 #           2           4555.60
 437.7600000000            0.000042696173079254
 437.3770676297            0.000044888006824057
 436.9948046173            0.000046429547225857
 436.6132092092            0.000048071719502231
 436.2322796581            0.000050936675908493
 435.8520142225            0.000054894762462085
 435.4724111674            0.000058946862025984
 435.0934687636            0.000062698664950263
 434.7151852878            0.000066816217322416
 434.3375590229            0.000072164006524276
 433.9605882577            0.000078688292949159
 433.5842712868            0.000085988465390259
 433.2086064110            0.000094509551403917
 432.8335919366            0.000105193645466682
 432.4592261762            0.000118725768418734
 432.0855074478            0.000135340111788089
 431.7124340755            0.000155436062076350
 431.3400043891            0.000180342959389157
 430.9682167241            0.000211929034408221
 430.5970694218            0.000251830905308153
 430.2265608293            0.000300888740585841
 429.8566892991            0.000358033332484697
 429.4874531896            0.000418052087264634
 429.1188508649            0.000469590970102813
 428.7508806944            0.000497258768166366
 428.3835410534            0.000490473638436843
 428.0168303226            0.000452373133004927
 427.6507468883            0.000397286390431483
 427.2852891422            0.000340048528616522
 426.9204554817            0.000289320485376418
 426.5562443095            0.000247533338616737
 426.1926540338            0.000213860355639138
 425.8296830682            0.000187214807747509
 425.4673298317            0.000166978112937876
 425.1055927488            0.000152035204854681
 424.7444702493            0.000140757359716156
 424.3839607681            0.000131867742785446
 424.0240627456            0.000124950504758459
 423.6647746277            0.000120117069678066
 423.3060948651            0.000117122197209429
 422.9480219141            0.000115426712156081
 422.5905542362            0.000114821514495508
 422.2336902978            0.000115460488979444
 421.8774285707            0.000117513619725536
 421.5217675320            0.000120859272751963
 421.1667056636            0.000125340376636241
 420.8122414527            0.000131114992568766
 420.4583733916            0.000138640300073526
 420.1050999776            0.000148494144735839
 419.7524197131            0.000161166854896495
 419.4003311055            0.000176925432601341
 419.0488326672            0.000195755434084921
 418.6979229155            0.000217421205516080
 418.3476003728            0.000240824867912682
 417.9978635665            0.000262673032090285
 417.6487110286            0.000278027354166446
 417.3001412964            0.000283923382625481
 416.9521529117            0.000282230509829320
 416.6047444215            0.000278050870181873
 416.2579143775            0.000275971169685608
 415.9116613360            0.000278432883864616
 415.5659838585            0.000286751400198453
 415.2208805111            0.000302093828637046
 414.8763498645            0.000325458500991596
 414.5323904944            0.000357812886652766
 414.1890009810            0.000400543043092442
 413.8461799093            0.000456010481323954
 413.5039258691            0.000527664499458209
 413.1622374547            0.000619481906156207
 412.8211132651            0.000735144033025581
 412.4805519038            0.000876094146724325
 412.1405519791            0.001037068235501891
 411.8011121038            0.001199362793191341
 411.4622308953            0.001327750923326433
 411.1239069754            0.001382814368906501
 410.7861389706            0.001348082433829252
 410.4489255119            0.001243162925823445
 410.1122652347            0.001105594646450680
 409.7761567789            0.000967085289453010
 409.4405987889            0.000845603913607152
 409.1055899135            0.000747699567686898
 408.7711288059            0.000672645880935977
 408.4372141238            0.000615772524765440
 408.1038445291            0.000570890357446236
 407.7710186883            0.000532996201304217
 407.4387352720            0.000500256690069951
 407.1069929554            0.000473210267441837
 406.7757904177            0.000452834647400889
 406.4451263426            0.000439416243725852
 406.1149994181            0.000432314954598131
 405.7854083364            0.000430789291008208
 405.4563517938            0.000435047668018680
 405.1278284911            0.000446477573621154
 404.7998371332            0.000466957093119387
 404.4723764290            0.000497902101144366
 404.1454450918            0.000539545541355573
 403.8190418390            0.000590096272936614
 403.4931653921            0.000645432173032868
 403.1678144768            0.000701155610178124
 402.8429878228            0.000756416541530954
 402.5186841641            0.000814180571328686
 402.1949022384            0.000875417005442998
 401.8716407879            0.000933265503164686
 401.5488985584            0.000973902129770116
 401.2266743001            0.000984136534579083
 400.9049667671            0.000959335396030126
 400.5837747173            0.000906350630405624
 400.2630969128            0.000840002914718464
 399.9429321196            0.000775242763862962
 399.6232791076            0.000721848187951541
 399.3041366507            0.000684501181254816
 398.9855035267            0.000664888246717445
 398.6673785172            0.000663036306543141
 398.3497604078            0.000678152722007472
 398.0326479878            0.000709786696454483
 397.7160400507            0.000759104637901900
 397.3999353935            0.000829536540244148
 397.0843328170            0.000926189133676066
 396.7692311262            0.001054651608806530
 396.4546291294            0.001219374891807182
 396.1405256391            0.001420036895425054
 395.8269194712            0.001644522033099229
 395.5138094456            0.001860730094967886
 395.2011943858            0.002018220153634699
 394.8890731191            0.002072847223314941
 394.5774444765            0.002019279802158525
 394.2663072925            0.001891603069989719
 393.9556604056            0.001733979864868753
 393.6455026577            0.001579799294290309
 393.3358328944            0.001448396603041051
 393.0266499649            0.001347317801245568
 392.7179527223            0.001274505103735216
 392.4097400228            0.001220172932681420
 392.1020107266            0.001171376651716852
 391.7947636974            0.001119786935281690
 391.4879978022            0.001065831281380163
