 ######################################################################
 #                                                                    #
 #                            TDSPEC v2.0                             #
 #            Time-Dependent Spectroscopic Simulations of             #
 #               Linear and Nonlinear Optical Processes               #
 #                                                                    #
 #                   Authors: Daniel W. Silverstein                   #
 #                            Philip A. Weiss                         #
 #                            Dhabih V. Chulhai                       #
 #                            Zhongwei Hu                             #
 #                            Lasse Jensen                            #
 #                                                                    #
 ######################################################################
 # TDSPEC OPA Calculation                                              
 # Incident Frequency   22333.3928890477     
 # Solvent shift  0.000000000000000E+000
 # Lifetime Model = Simple Homogeneous and Inhomogenous Broadening
 # start reading info excited state: 1
 # done reading info for excited state: 1
 # start reading info excited state: 2
 # done reading info for excited state: 2
 # Excited State       Gamma (cm-1)      Theta (cm-1)
 #           1           100.00              0.00
 #           2           100.00              0.00
 # Solvent contribution to the reorganization energy
 # cannot be calculated in the simple solvent model.
 # Excited State       Vib. Reorganization Energy (cm-1)
 #           1           4812.15
 #           2           4555.60
 447.7600000000            0.000031374102039886
 447.3593807274            0.000029907078722193
 446.9594776971            0.000028237734432208
 446.5602889900            0.000026724168969753
 446.1618126940            0.000026323859200024
 445.7640469036            0.000027832932545254
 445.3669897202            0.000030633822136817
 444.9706392520            0.000033074607665653
 444.5749936138            0.000034659822215294
 444.1800509271            0.000036248913463813
 443.7858093204            0.000037988643574032
 443.3922669283            0.000038837125677033
 442.9994218925            0.000038096910755511
 442.6072723609            0.000036754112898532
 442.2158164883            0.000036678453993031
 441.8250524356            0.000038522168753777
 441.4349783707            0.000041424163152783
 441.0455924676            0.000044210515584745
 440.6568929068            0.000046320027458436
 440.2688778752            0.000047675679771225
 439.8815455663            0.000048172956232870
 439.4948941796            0.000048046598047851
 439.1089219213            0.000047997750329046
 438.7236270036            0.000048775383607480
 438.3390076450            0.000050881316497409
 437.9550620704            0.000054422668759733
 437.5717885108            0.000058957141507555
 437.1891852034            0.000063516991980702
 436.8072503916            0.000067611189132474
 436.4259823249            0.000071691504003767
 436.0453792590            0.000075910017109961
 435.6654394554            0.000079553268530953
 435.2861611820            0.000082347741490604
 434.9075427126            0.000085486836693527
 434.5295823268            0.000090856053285720
 434.1522783105            0.000099229249128677
 433.7756289553            0.000109810767571801
 433.3996325589            0.000121893897725028
 433.0242874248            0.000135816943528722
 432.6495918623            0.000152355327012833
 432.2755441868            0.000172081097697487
 431.9021427192            0.000195504317130698
 431.5293857865            0.000224024648374901
 431.1572717212            0.000260120887001081
 430.7857988617            0.000306577128224567
 430.4149655522            0.000365637750507318
 430.0447701423            0.000437606893397831
 429.6752109876            0.000518379821964829
 429.3062864492            0.000596358176369133
 428.9379948938            0.000652167625433607
 428.5703346938            0.000666491779583817
 428.2033042269            0.000634050714240321
 427.8369018768            0.000568607286983858
 427.4711260324            0.000491706502558581
 427.1059750882            0.000419532966846333
 426.7414474442            0.000359112111699302
 426.3775415057            0.000310994602278636
 426.0142556838            0.000273408663488159
 425.6515883945            0.000244816129281220
 425.2895380597            0.000223750475216383
 424.9281031064            0.000208098707785872
 424.5672819668            0.000195754895974338
 424.2070730788            0.000185779309301614
 423.8474748853            0.000178730393054192
 423.4884858346            0.000175549909583437
 423.1301043802            0.000176358529529745
 422.7723289808            0.000180579464252821
 422.4151581004            0.000187444206908208
 422.0585902082            0.000196124721345752
 421.7026237784            0.000205472980765248
 421.3472572906            0.000214159303367640
 420.9924892292            0.000221549658658868
 420.6383180840            0.000228267821120706
 420.2847423498            0.000236020022763154
 419.9317605262            0.000246851690349803
 419.5793711182            0.000262564010893310
 419.2275726357            0.000284407935935465
 418.8763635934            0.000312706116869703
 418.5257425112            0.000346452351880299
 418.1757079139            0.000382420825728488
 417.8262583311            0.000414755601633967
 417.4773922976            0.000437426446538306
 417.1291083528            0.000448409767024419
 416.7814050411            0.000450594141538555
 416.4342809117            0.000448659378002775
 416.0877345186            0.000446456394873234
 415.7417644208            0.000446962842958134
 415.3963691819            0.000453160998147591
 415.0515473703            0.000468064305719405
 414.7072975592            0.000494243944272289
 414.3636183265            0.000533834916795338
 414.0205082547            0.000589198178500292
 413.6779659313            0.000663727452822303
 413.3359899482            0.000761980068387409
 412.9945789020            0.000889201562989893
 412.6537313939            0.001049625320920127
 412.3134460299            0.001242039836293909
 411.9737214204            0.001452125048987450
 411.6345561804            0.001644854197610814
 411.2959489296            0.001768852723980543
 410.9578982921            0.001783862052177253
 410.6204028966            0.001691895455241575
 410.2834613762            0.001533291778891067
 409.9470723685            0.001354783355819099
 409.6112345157            0.001188449712888095
 409.2759464643            0.001049712464330634
 408.9412068654            0.000942107961400325
 408.6070143742            0.000862064846969561
 408.2733676506            0.000802258368095706
 407.9402653587            0.000754865930122566
 407.6077061671            0.000715230902262501
 407.2756887485            0.000682917522256650
 406.9442117803            0.000659466600996283
 406.6132739437            0.000646067092133919
 406.2828739247            0.000642562461656432
 405.9530104132            0.000647843436099782
 405.6236821035            0.000661201713482879
 405.2948876941            0.000683121011996371
 404.9666258878            0.000714626242534976
 404.6388953915            0.000755822307206432
 404.3116949162            0.000805303946590415
 403.9850231774            0.000860780419910978
 403.6588788943            0.000919592706932600
 403.3332607905            0.000979167746784338
 403.0081675938            0.001039296864684841
 402.6835980359            0.001104372789891306
 402.3595508526            0.001179484594137061
 402.0360247839            0.001262062438509158
 401.7130185737            0.001338525358044419
 401.3905309700            0.001390683326325761
 401.0685607249            0.001406349998094838
 400.7471065944            0.001385040393713764
 400.4261673385            0.001336243800132266
 400.1057417211            0.001272650212100424
 399.7858285102            0.001204787687731300
 399.4664264777            0.001140828268550331
