 ######################################################################
 #                                                                    #
 #                            TDSPEC v2.0                             #
 #            Time-Dependent Spectroscopic Simulations of             #
 #               Linear and Nonlinear Optical Processes               #
 #                                                                    #
 #                   Authors: Daniel W. Silverstein                   #
 #                            Philip A. Weiss                         #
 #                            Dhabih V. Chulhai                       #
 #                            Zhongwei Hu                             #
 #                            Lasse Jensen                            #
 #                                                                    #
 ######################################################################
 # TDSPEC OPA Calculation                                              
 # Incident Frequency   22333.3928890477     
 # Solvent shift  0.000000000000000E+000
 # Lifetime Model = Simple Homogeneous and Inhomogenous Broadening
 # start reading info excited state: 1
 # done reading info for excited state: 1
 # start reading info excited state: 2
 # done reading info for excited state: 2
 # Excited State       Gamma (cm-1)      Theta (cm-1)
 #           1           100.00              0.00
 #           2           100.00              0.00
 # Solvent contribution to the reorganization energy
 # cannot be calculated in the simple solvent model.
 # Excited State       Vib. Reorganization Energy (cm-1)
 #           1           4812.15
 #           2           4555.60
 447.7600000000            0.000011381531799336
 447.3593807274            0.000008748161495046
 446.9594776971            0.000006101867656376
 446.5602889900            0.000004380684485057
 446.1618126940            0.000003958438767587
 445.7640469036            0.000004806663853054
 445.3669897202            0.000006648773626581
 444.9706392520            0.000008935144939221
 444.5749936138            0.000010976677757299
 444.1800509271            0.000012262760438946
 443.7858093204            0.000012546173671839
 443.3922669283            0.000011751095184906
 442.9994218925            0.000010205122751449
 442.6072723609            0.000008781912485093
 442.2158164883            0.000008427867659897
 441.8250524356            0.000009491587554579
 441.4349783707            0.000011479012149951
 441.0455924676            0.000013435370490652
 440.6568929068            0.000014594477030209
 440.2688778752            0.000014649658519248
 439.8815455663            0.000013722319882678
 439.4948941796            0.000012364919076817
 439.1089219213            0.000011290753010846
 438.7236270036            0.000010974277816812
 438.3390076450            0.000011550556676766
 437.9550620704            0.000012955283695286
 437.5717885108            0.000015112211907875
 437.1891852034            0.000017806037281937
 436.8072503916            0.000020472872134172
 436.4259823249            0.000022394067831331
 436.0453792590            0.000023104739887695
 435.6654394554            0.000022628330477024
 435.2861611820            0.000021541174605560
 434.9075427126            0.000020877036361361
 434.5295823268            0.000021588817018564
 434.1522783105            0.000023970677380657
 433.7756289553            0.000027637558110253
 433.3996325589            0.000031930034777247
 433.0242874248            0.000036382443029995
 432.6495918623            0.000040892281361284
 432.2755441868            0.000045586078277619
 431.9021427192            0.000050786035707727
 431.5293857865            0.000057067592160485
 431.1572717212            0.000065208375049514
 430.7857988617            0.000076162956727079
 430.4149655522            0.000090848908646911
 430.0447701423            0.000109459721241071
 429.6752109876            0.000130665095225752
 429.3062864492            0.000150992489623112
 428.9379948938            0.000165093277121622
 428.5703346938            0.000168093324076249
 428.2033042269            0.000159129212753279
 427.8369018768            0.000142201431103092
 427.4711260324            0.000122978441733582
 427.1059750882            0.000105488487812378
 426.7414474442            0.000091421661939795
 426.3775415057            0.000080933688034752
 426.0142556838            0.000073477977457059
 425.6515883945            0.000068295118939199
 425.2895380597            0.000064675812025145
 424.9281031064            0.000061965589577214
 424.5672819668            0.000059615863824817
 424.2070730788            0.000057562153545014
 423.8474748853            0.000056414421208518
 423.4884858346            0.000057098084765317
 423.1301043802            0.000060207581669946
 422.7723289808            0.000065590387129506
 422.4151581004            0.000072479812988306
 422.0585902082            0.000079831629810418
 421.7026237784            0.000086462178913224
 421.3472572906            0.000091241841536363
 420.9924892292            0.000093556870629719
 420.6383180840            0.000093710437657843
 420.2847423498            0.000092863912794738
 419.9317605262            0.000092507301494090
 419.5793711182            0.000094045589672620
 419.2275726357            0.000098607124412864
 418.8763635934            0.000106629504869236
 418.5257425112            0.000117608032862704
 418.1757079139            0.000130368155922183
 417.8262583311            0.000143445892132929
 417.4773922976            0.000155319485894519
 417.1291083528            0.000164656811381514
 416.7814050411            0.000170439305486873
 416.4342809117            0.000172090115511901
 416.0877345186            0.000169933133821931
 415.7417644208            0.000165249442967967
 415.3963691819            0.000159816756558985
 415.0515473703            0.000155550598075436
 414.7072975592            0.000154083551958247
 414.3636183265            0.000156444259508301
 414.0205082547            0.000163190255457721
 413.6779659313            0.000174780046369426
 413.3359899482            0.000191975839650007
 412.9945789020            0.000216056019166786
 412.6537313939            0.000248298310493422
 412.3134460299            0.000288597402611052
 411.9737214204            0.000333647901552009
 411.6345561804            0.000375540159492757
 411.2959489296            0.000403012167647252
 410.9578982921            0.000407351579740308
 410.6204028966            0.000388838885266476
 410.2834613762            0.000355912746730070
 409.9470723685            0.000318550387496017
 409.6112345157            0.000283798742152922
 409.2759464643            0.000255233438729998
 408.9412068654            0.000233908741441198
 408.6070143742            0.000219254546117657
 408.2733676506            0.000209661129032098
 407.9402653587            0.000203272909348526
 407.6077061671            0.000198966032226312
 407.2756887485            0.000196727712835523
 406.9442117803            0.000197141732624877
 406.6132739437            0.000200671134906701
 406.2828739247            0.000207365860713885
 405.9530104132            0.000216957665417232
 405.6236821035            0.000229106107818384
 405.2948876941            0.000243471598007049
 404.9666258878            0.000259326079033049
 404.6388953915            0.000275021045963648
 404.3116949162            0.000288226824709023
 403.9850231774            0.000297303265047531
 403.6588788943            0.000302597094596790
 403.3332607905            0.000306235652181455
 403.0081675938            0.000311075438495288
 402.6835980359            0.000320087129941847
 402.3595508526            0.000335442412488975
 402.0360247839            0.000357039337165916
 401.7130185737            0.000382200948849540
 401.3905309700            0.000407401829249803
 401.0685607249            0.000430184429688466
 400.7471065944            0.000449032544163514
 400.4261673385            0.000461835288296503
 400.1057417211            0.000465409900698311
 399.7858285102            0.000457582068509447
 399.4664264777            0.000439487106680876
